0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
H703,y,H703_0629_150_RE_e5A2s,0.0032,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.23,0.08,,,,,
H703,y,H703_0646_051sN,0.07,N/A,y,%80,N/A,N/A,N/A,N/A,>10,0.32,1.85,3.00,,,,,
H703,y,H703_0739_110s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,0.25,>10,0.1,0.07,,,,,
H703,y,H703_0842_200Es,0.21,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,>10,6.75,,,,,
H703,y,H703_0865_070s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.39,4.83,,,,,
H703,y,H703_0926_070s_2H2,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,7.85,2.36,,,,,
H703,y,H703_1060_080s,0.05,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.76,1.00,,,,,
H703,y,H703_1104_100_Re10A5s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.93,4.40,,,,,
H703,y,H703_1104_100_Re10GS,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.63,3.69,,,,,
H703,y,H703_1313_040s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.26,0.24,,,,,
H703,y,H703_1471_190s,0.01,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.15,0.07,,,,,
H703,y,H703_1675_080s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.11,0.17,,,,,
H703,y,H703_1675_G613s,0.59,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.09,0.19,,,,,
H703,y,H703_1750_140Es,0.05,N/A,y,%80,N/A,N/A,N/A,N/A,>10,8.3,0.69,0.52,,,,,
H703,y,H703_1764_250_RE_cs,0.18,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.09,0.20,,,,,
H703,y,H703_1789_230_RE_e3A3s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.43,1.75,,,,,
H703,y,H703_1848_190_RE_e6D1s,0.02,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.36,0.65,,,,,
H703,y,H703_1889_100Es,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.33,0.90,,,,,
H703,y,H703_2018_240_RE_e6A1s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.68,0.31,,,,,
H703,y,H703_2117_110_RE_e2A10s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.37,0.11,,,,,
H703,y,H703_2149_060_RE_eB10s,9.17,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.1,0.07,,,,,
H703,y,H703_2304_150_RE_cs,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,0.11,0.24,0.04,,,,,
H703,y,H703_2539_070_RE_e6F6s,4.57,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,>10,>10,,,,,
H703,y,H703_2631_150_RE_e2F8s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,3.9,0.12,0.26,,,,,
H703,y,H703_2788_030Es_B1,1.84,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,2.55,7.44,,,,,
H703,y,H703_2805_080Es,0.06,N/A,y,%80,N/A,N/A,N/A,N/A,>10,0.81,0.1,0.10,,,,,
V703,y,V703_0203_081_RE_pblib002_s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,2.26,3.27,,,,,
V703,y,V703_0217_050_RE_pblib002_s,0.0029,N/A,y,%80,N/A,N/A,N/A,N/A,>10,0.06,0.01,0.24,,,,,
V703,y,V703_0279_110_RE_pblib002_s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.64,0.35,,,,,
V703,y,V703_0537_110_RE_pblib003_s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.0411,0.01,,,,,
V703,y,V703_0566_160_RE_pblib002_s,0.2,N/A,y,%80,N/A,N/A,N/A,N/A,>10,0.27,0.21,0.64,,,,,
V703,y,V703_0629_150_RE_pblib002_s,0.01,N/A,y,%80,N/A,N/A,N/A,N/A,>10,0.87,0.31,0.28,,,,,
V703,y,V703_0629_150_RE_pblib003_s,0.06,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.29,0.19,,,,,
V703,y,V703_0629_150_RE_pblib004_s,0.01,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.31,0.24,,,,,
V703,y,V703_1104_100_RE_pblib001_s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.85,4.31,,,,,
V703,y,V703_1298_080_RE_pblib002_s,0.1,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.77,0.38,,,,,
V703,y,V703_1848_190_RE_pblib002_s,0.06,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.29,0.24,,,,,
V703,y,V703_1915_250_RE_sgaA3_s,0.04,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.28,0.18,,,,,
V703,y,V703_2805_080_RE_pblib002_s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,9.05,>10,>10,,,,,
